artist,track,album,album_type,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,stream,duration_min,is_feat
Sub Focus,Desire (Sub Focus & Dimension),Desire (with Dimension) [Sub Focus & Dimension],single,0.537,0.906,8,-1.167,0.0651,0.133,0.0187,0.319,0.504,173.898,72326395,3.5862,0
Sub Focus,Ready To Fly - Hardcore Mix,Ready To Fly (Hardcore Mix),single,0.473,0.954,8,-2.289,0.061,0.112,0.287,0.357,0.486,173.884,888348,2.941666666666667,0
Sub Focus,Tidal Wave,Torus,album,0.522,0.868,5,-5.307,0.0412,0.0446,1.3e-06,0.635,0.514,173.96,64296487,3.8137833333333333,0
Sub Focus,Do It To It - Sub Focus Remix,Do It To It (Sub Focus Remix),single,0.599,0.977,7,-0.552,0.0687,0.00704,0.827,0.582,0.108,173.959,6047209,3.2413833333333333,0
Sub Focus,Enter Night - Sub Focus & Wilkinson,Portals,album,0.446,0.775,1,-4.923,0.0327,0.014,0.708,0.077,0.0361,86.979,5273428,3.9631166666666666,0
Sub Focus,Illuminate - Sub Focus & Wilkinson,Portals,album,0.449,0.931,5,-3.88,0.0509,0.047,0.225,0.279,0.141,173.994,23323246,2.9926666666666666,0
Jeff Beck,Cause We've Ended as Lovers,Blow By Blow,album,0.549,0.294,0,-13.181,0.0337,0.144,0.798,0.108,0.145,115.294,25335747,5.701116666666667,0
Jeff Beck,I Put a Spell on You (feat. Joss Stone),Emotion & Commotion,album,0.681,0.335,11,-10.479,0.0865,0.433,0.000189,0.219,0.749,174.062,20697168,3.04045,1
Jeff Beck,People Get Ready,Flash,album,0.502,0.352,2,-14.362,0.0276,0.437,5.84e-05,0.293,0.358,143.685,14131429,4.878216666666667,0
Jeff Beck,A Thousand Shades (feat. Jeff Beck),Patient Number 9,album,0.371,0.652,6,-3.838,0.0312,0.00107,2.48e-06,0.601,0.204,81.044,1593037,4.440466666666667,1
Jeff Beck,You Know What I Mean,Blow By Blow,album,0.671,0.669,2,-8.144,0.0687,0.046,0.892,0.0712,0.971,100.792,2334703,4.093333333333334,0
Jeff Beck,Freeway Jam,Blow By Blow,album,0.409,0.849,7,-7.711,0.0531,0.102,0.889,0.141,0.904,137.018,3523639,4.977783333333333,0
Jeff Beck,She's a Woman,Blow By Blow,album,0.704,0.597,9,-9.128,0.0493,0.472,0.562,0.082,0.785,83.037,1801839,4.5171166666666664,0
Jeff Beck,Constipated Duck,Blow By Blow,album,0.601,0.783,11,-9.314,0.0348,0.0334,0.779,0.103,0.917,96.941,1191801,2.8011166666666667,0
Chevelle,The Red,Wonder What's Next (Expanded Edition),album,0.509,0.843,1,-3.318,0.0488,0.000671,0.000803,0.348,0.332,140.055,191892161,3.973333333333333,0
Chevelle,Send the Pain Below,Wonder What's Next (Expanded Edition),album,0.468,0.851,11,-3.617,0.0398,0.000281,0.00483,0.0644,0.293,92.079,88970580,4.206,0
Chevelle,Face to the Floor,Hats Off to the Bull,album,0.515,0.857,5,-4.582,0.0511,1.25e-05,0.0954,0.486,0.669,92.028,61066933,3.6426666666666665,0
Chevelle,Vitamin R (Leading Us Along),This Type Of Thinking (Could Do Us In),album,0.481,0.88,4,-4.55,0.0717,0.00465,6.02e-05,0.204,0.289,95.023,36249819,3.71955,0
Chevelle,Jars,Sci-Fi Crimes,album,0.533,0.961,11,-3.32,0.0549,0.000602,0.000177,0.275,0.328,106.991,30220885,3.33,0
Chevelle,Closure,Wonder What's Next (Expanded Edition),album,0.289,0.736,11,-3.38,0.0369,0.00087,0.00395,0.0636,0.13,152.158,21386873,4.196666666666666,0
Chevelle,Comfortable Liar,Wonder What's Next (Expanded Edition),album,0.522,0.811,1,-2.761,0.0304,0.00144,0.0181,0.682,0.198,89.087,13760865,3.7211166666666666,0
Chevelle,The Clincher,This Type Of Thinking (Could Do Us In),album,0.263,0.939,1,-4.648,0.0834,7.66e-05,0.000364,0.374,0.408,175.293,25464719,3.72955,0
Chevelle,Clones,Hats Off to the Bull,album,0.467,0.873,8,-4.941,0.0404,0.000119,0.00433,0.073,0.339,96.004,6584747,3.4633333333333334,0
Chevelle,I Get It,Vena Sera,album,0.506,0.963,3,-3.805,0.0709,9.2e-05,0.000424,0.147,0.352,124.462,17988930,3.91645,0
Vybz Kartel,Fever,King Of The Dancehall,album,0.891,0.62,7,-7.463,0.244,0.139,1.61e-05,0.0805,0.404,98.094,74436164,3.408333333333333,0
Vybz Kartel,Clarks,Stronger We Get,album,0.631,0.802,8,-5.316,0.373,0.0886,0.0,0.103,0.772,101.803,25069575,3.0648833333333334,0
Vybz Kartel,International Criminal,KitschKrieg,album,0.741,0.594,1,-7.478,0.419,0.0255,1.43e-05,0.095,0.489,75.395,37253562,3.02955,0
Vybz Kartel,Summer Tiime,The Gaza Don,album,0.858,0.798,1,-4.062,0.0648,0.313,3.89e-06,0.316,0.353,100.039,29853467,2.7842166666666666,0
Vybz Kartel,Yuh Love,Kingston Story (Deluxe Edition),album,0.502,0.685,8,-6.94,0.347,0.232,0.0,0.148,0.78,90.978,30209454,3.7884333333333333,0
Vybz Kartel,"Bad Gyal (feat. Skillibeng, Jucee Froot & Tommy Lee) [Divas]",Of Dons & Divas,album,0.539,0.707,9,-10.265,0.144,0.443,7.02e-06,0.11,0.356,102.062,5115928,3.88235,1
Vybz Kartel,Gal a Weh Do You,Pon Di Gaza 2.0,album,0.577,0.637,6,-6.86,0.315,0.0533,0.0,0.0654,0.593,106.499,5694420,2.94555,0
Vybz Kartel,Happy Pum Pum,Happy Pum Pum,single,0.623,0.678,1,-5.452,0.243,0.285,0.0,0.172,0.781,175.682,11723007,3.54545,0
