,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream
15898,Of Monsters and Men,Little Talks,My Head Is An Animal,album,0.457,0.757,1.0,-5.177,0.032,0.0206,0.0,0.146,0.417,102.961,266600.0,828553788.0
15899,Of Monsters and Men,Dirty Paws,My Head Is An Animal,album,0.359,0.649,3.0,-7.06,0.0349,0.107,0.0124,0.0555,0.133,111.709,278373.0,294799978.0
15900,Of Monsters and Men,Mountain Sound,My Head Is An Animal,album,0.379,0.879,1.0,-4.336,0.0362,0.0421,0.00449,0.146,0.37,102.021,211453.0,192615029.0
15901,Of Monsters and Men,King And Lionheart,My Head Is An Animal,album,0.52,0.655,3.0,-6.519,0.0394,0.105,0.00384,0.124,0.29,126.593,273853.0,139929102.0
15902,Of Monsters and Men,Crystals,Beneath The Skin,album,0.581,0.747,0.0,-7.207,0.0303,0.00202,0.000449,0.109,0.325,132.195,243520.0,119987512.0
15903,Of Monsters and Men,Alligator,FEVER DREAM,album,0.581,0.934,8.0,-5.511,0.0547,0.000169,0.00297,0.0901,0.391,120.024,184027.0,37730892.0
15904,Of Monsters and Men,Love Love Love,My Head Is An Animal,album,0.324,0.367,7.0,-9.814,0.0377,0.806,8.98e-05,0.0836,0.16,110.947,238787.0,85739304.0
15905,Of Monsters and Men,Human,Beneath The Skin,album,0.521,0.732,4.0,-5.408,0.0321,0.000783,0.57,0.159,0.185,125.99,237813.0,32931826.0
15906,Of Monsters and Men,Empire,Beneath The Skin,album,0.504,0.692,5.0,-6.32,0.0321,0.000422,0.000761,0.0919,0.544,118.96,260413.0,45344436.0
15907,Of Monsters and Men,Wolves Without Teeth,Beneath The Skin,album,0.362,0.72,11.0,-6.169,0.0334,0.00108,0.000417,0.332,0.436,135.637,232973.0,45041936.0
15908,Boef,Probleem,Probleem,single,0.899,0.481,7.0,-9.116,0.239,0.571,0.0,0.11,0.139,130.018,144000.0,7772181.0
15909,Boef,Ff Ademen Jij,Ff Ademen Jij,single,0.798,0.683,8.0,-7.879,0.412,0.224,0.0,0.102,0.669,143.051,162926.0,6161767.0
15910,Boef,Natte Sokken,Natte Sokken,single,0.572,0.668,8.0,-8.457,0.49,0.597,0.0,0.094,0.326,93.135,175797.0,882881.0
15911,Boef,Flexxen,Flexxen,single,0.833,0.618,3.0,-6.489,0.0513,0.0357,0.0,0.104,0.751,126.009,137451.0,11783906.0
15912,Boef,Als Je Bij Me Blijft,Als Je Bij Me Blijft,single,0.94,0.918,2.0,-7.416,0.234,0.0775,0.0,0.0918,0.652,129.997,165534.0,17828474.0
15913,Boef,Habiba,Slaaptekort,album,0.898,0.813,8.0,-5.725,0.306,0.113,0.0,0.0854,0.771,126.986,215978.0,70166564.0
15914,Boef,Voor Het Kiezen,Voor Het Kiezen,single,0.785,0.552,2.0,-11.223,0.408,0.157,0.0,0.0958,0.815,94.003,174890.0,1989513.0
15915,Boef,Nooit Thuis,Allemaal Een Droom,album,0.778,0.743,9.0,-6.099,0.141,0.392,0.0,0.0631,0.555,121.036,160960.0,32820167.0
15916,Boef,Paperchase,Paperchase,single,0.721,0.74,0.0,-7.998,0.328,0.452,0.0511,0.323,0.794,87.914,180000.0,20564258.0
15917,Boef,Hosselen,Gewoon BOEF,album,0.77,0.832,8.0,-5.929,0.177,0.397,0.0,0.36,0.729,91.943,208696.0,16338337.0
15918,Stephanie Beatriz,We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),album,0.577,0.45,0.0,-8.516,0.0834,0.357,0.0,0.111,0.83,205.863,216120.0,390826781.0
15919,Stephanie Beatriz,The Family Madrigal,Encanto (Original Motion Picture Soundtrack),album,0.594,0.628,1.0,-6.345,0.359,0.12,0.0,0.0582,0.556,141.391,257213.0,162508709.0
15920,Stephanie Beatriz,What Else Can I Do?,Encanto (Original Motion Picture Soundtrack),album,0.718,0.709,4.0,-5.568,0.039,0.258,0.0,0.101,0.54,119.974,179427.0,132712684.0
15921,Stephanie Beatriz,Waiting On A Miracle,Encanto (Original Motion Picture Soundtrack),album,0.48,0.554,1.0,-8.145,0.069,0.171,0.0,0.131,0.267,190.066,161840.0,102734312.0
15922,Stephanie Beatriz,All Of You,Encanto (Original Motion Picture Soundtrack),album,0.515,0.467,11.0,-10.623,0.0494,0.633,0.0,0.107,0.346,114.532,278440.0,71682929.0
15923,Stephanie Beatriz,In The Heights,In The Heights (Original Motion Picture Soundtrack),album,0.575,0.535,7.0,-7.452,0.331,0.121,0.0,0.122,0.713,167.834,461638.0,18314061.0
15924,Stephanie Beatriz,Blackout,In The Heights (Original Motion Picture Soundtrack),album,0.611,0.749,7.0,-6.408,0.0698,0.0107,0.0,0.204,0.502,99.667,200118.0,15746869.0
15925,Stephanie Beatriz,Carnaval Del Barrio,In The Heights (Original Motion Picture Soundtrack),album,0.546,0.563,7.0,-7.891,0.101,0.0968,0.0,0.0352,0.7,113.215,420171.0,11546929.0
15926,Stephanie Beatriz,"96,000",In The Heights (Original Motion Picture Soundtrack),album,0.479,0.614,7.0,-7.001,0.336,0.013,0.0,0.162,0.406,171.93,345871.0,13139492.0
15927,Stephanie Beatriz,No Me Diga,In The Heights (Original Motion Picture Soundtrack),album,0.497,0.474,8.0,-6.964,0.073,0.541,0.0,0.0942,0.945,163.661,144599.0,11204024.0
15928,Ankit Tiwari,Galliyan Returns,Ek Villain Returns,album,0.43,0.612,10.0,-5.534,0.0392,0.432,2.29e-06,0.0955,0.241,85.959,350012.0,50934769.0
15929,Ankit Tiwari,Sunn Raha Hai,Aashiqui 2,album,0.394,0.641,0.0,-6.493,0.0312,0.276,0.0,0.0958,0.335,81.932,390223.0,45784928.0
15930,Ankit Tiwari,Valentine's Mashup 2019,Valentine's Mashup 2019,single,0.595,0.61,7.0,-6.887,0.0499,0.332,2.14e-06,0.0628,0.314,97.974,212522.0,55399812.0
15931,Ankit Tiwari,Tu Hai Ki Nahi,Roy,album,0.535,0.754,10.0,-4.77,0.0562,0.458,1.6e-06,0.302,0.435,143.862,333922.0,29459883.0
15932,Ankit Tiwari,"Sanam Teri Kasam (From ""Sanam Teri Kasam"")",Sanam Teri Kasam (Original Motion Picture Soundtrack),album,0.624,0.551,0.0,-6.871,0.033,0.285,0.0,0.234,0.229,149.97,314000.0,23230862.0
15933,Ankit Tiwari,The Break Up Mashup,The Break Up Mashup,single,0.251,0.604,3.0,-5.622,0.0431,0.171,2.25e-06,0.123,0.166,84.643,307846.0,13047107.0
15934,Ankit Tiwari,Shaamat,Ek Villain Returns,album,0.537,0.628,10.0,-5.342,0.029,0.148,0.0,0.0355,0.514,97.87,334173.0,18327906.0
15935,Ankit Tiwari,"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",52 Non Stop Dilbar Dilbar Remix,compilation,0.521,0.837,7.0,-4.501,0.0794,0.0593,1.28e-05,0.157,0.48,106.001,4581483.0,23128326.0
15936,Ankit Tiwari,"Galliyan (From ""Ek Villain"")",Best Of Shraddha Kapoor,compilation,0.552,0.75,10.0,-5.215,0.039,0.445,7.37e-05,0.291,0.4,89.999,340400.0,43683565.0
15937,Ankit Tiwari,Romantic Mashup 2,Romantic Mashup 2,single,0.508,0.761,8.0,-5.118,0.0422,0.0933,2e-06,0.268,0.339,100.011,325172.0,35712881.0
15938,The Neighbourhood,Sweater Weather,I Love You.,album,0.612,0.807,10.0,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400.0,1974874968.0
15939,The Neighbourhood,Daddy Issues,Wiped Out!,album,0.588,0.521,10.0,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,260173.0,990546847.0
15940,The Neighbourhood,Softcore,Hard To Imagine The Neighbourhood Ever Changing,album,0.575,0.568,9.0,-5.509,0.03,0.0484,0.000417,0.286,0.37,93.986,206280.0,464102375.0
15941,The Neighbourhood,You Get Me So High,Hard To Imagine The Neighbourhood Ever Changing,album,0.551,0.881,7.0,-6.099,0.0542,0.186,0.0791,0.152,0.387,88.036,153000.0,277442000.0
15942,The Neighbourhood,Reflections,Hard To Imagine The Neighbourhood Ever Changing,album,0.648,0.594,11.0,-7.027,0.0293,0.114,0.0462,0.116,0.544,113.983,244013.0,181860613.0
15943,The Neighbourhood,The Beach,Wiped Out!,album,0.245,0.64,2.0,-7.426,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,255133.0,245601369.0
15944,The Neighbourhood,Pretty Boy,Chip Chrome & The Mono-Tones,album,0.578,0.386,6.0,-11.464,0.0278,0.208,0.0453,0.307,0.569,154.902,234093.0,121193351.0
15945,The Neighbourhood,Afraid,I Love You.,album,0.464,0.701,6.0,-5.693,0.0411,0.00892,0.309,0.335,0.356,83.996,251187.0,340358667.0
15946,The Neighbourhood,Cry Baby,Wiped Out!,album,0.581,0.656,4.0,-4.891,0.0294,0.00269,2.78e-06,0.101,0.338,108.033,235160.0,226167156.0
15947,The Neighbourhood,Stargazing,Chip Chrome & The Mono-Tones (Deluxe),album,0.512,0.483,0.0,-7.798,0.0298,0.00304,0.0011,0.12,0.367,160.009,217027.0,167922062.0
15948,Duki,Marisola - Remix,Marisola (Remix),single,0.765,0.872,1.0,-5.863,0.0498,0.173,5.65e-06,0.0749,0.722,94.999,237474.0,60759176.0
15949,Duki,"Duki: Bzrp Music Sessions, Vol. 50","Duki: Bzrp Music Sessions, Vol. 50",single,0.535,0.874,9.0,-2.248,0.137,0.371,0.0,0.192,0.323,140.006,227562.0,81938889.0
15950,Duki,She Don't Give a Fo,She Don't Give a Fo,single,0.854,0.556,1.0,-4.49,0.14,0.345,0.0,0.165,0.342,119.938,209531.0,366032827.0
15951,Duki,Una Vaina Loca,Una Vaina Loca,single,0.811,0.588,1.0,-3.161,0.0464,0.128,0.0004,0.0929,0.553,107.022,226187.0,165747529.0
15952,Duki,Sin Frenos,Sauce Boyz 2,album,0.657,0.702,9.0,-7.667,0.0482,0.0723,0.0,0.188,0.75,145.022,211394.0,78225518.0
15953,Duki,GIVENCHY,Temporada de Reggaetón 2,album,0.607,0.619,8.0,-6.726,0.396,0.142,0.0,0.231,0.377,102.974,182611.0,143944286.0
15954,Duki,Bottas,Sr. Santos,album,0.907,0.644,2.0,-5.522,0.353,0.392,0.0,0.543,0.721,123.979,191664.0,14679203.0
15955,Duki,París,SI AYER FUERA HOY,album,0.582,0.804,11.0,-4.155,0.0389,0.0493,0.0,0.0624,0.732,138.014,182188.0,106927958.0
15956,Duki,Malbec,Desde el Fin del Mundo,album,0.705,0.692,9.0,-6.476,0.0357,0.574,0.0,0.13,0.444,122.991,175890.0,150387503.0
15957,Duki,3 Estrellas en el Conjunto,3 Estrellas en el Conjunto,single,0.683,0.683,11.0,-4.509,0.0861,0.398,3.83e-06,0.096,0.621,123.906,276774.0,6403058.0
15958,Travis Scott,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,album,0.671,0.658,2.0,-5.567,0.309,0.189,8.66e-05,0.147,0.257,87.933,207307.0,81603704.0
15959,Travis Scott,Pussy & Millions (feat. Travis Scott),Her Loss,album,0.749,0.63,4.0,-6.652,0.116,0.0623,0.0,0.353,0.445,122.03,242027.0,119787835.0
15960,Travis Scott,goosebumps,Birds In The Trap Sing McKnight,album,0.841,0.728,7.0,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,243837.0,1888027534.0
15961,Travis Scott,Open Arms (feat. Travis Scott),SOS,album,0.434,0.586,9.0,-7.612,0.138,0.753,0.0144,0.146,0.239,78.259,239613.0,46961903.0
15962,Travis Scott,SICKO MODE,ASTROWORLD,album,0.834,0.73,8.0,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,1775366284.0
15963,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,single,0.598,0.427,7.0,-8.764,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,1285619093.0
15964,Travis Scott,Raindrops (Insane) [with Travis Scott],HEROES & VILLAINS,album,0.796,0.539,7.0,-5.974,0.0433,0.103,0.0,0.343,0.123,111.988,188587.0,55173171.0
15965,Travis Scott,Fair Trade (with Travis Scott),Certified Lover Boy,album,0.666,0.465,1.0,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937,291175.0,470567628.0
